complaint_no,title,complaint_at,bin,owner,disposition,comments,disp_date,disp_code,disp_result,year
1513466,Overview for Complaint #:1513466 = RESOLVED,301 EAST 79 STREET,1049261,CONTINENTAL TOWERS CONDO,06/28/2019 - A8 - ECB VIOLATION SERVED,DESIGN CHANGES AND MISSING AMENITIES AT THE PRIVATELY OWNED PUBLIC SPACE W/O DCPAPPROVAL.,2019-06-28,A8,ECB VIOLATION SERVED,2019
1512335,Overview for Complaint #:1512335 = RESOLVED,1330 6 AVENUE,1034522,RXR 1330 OWNER LLC,06/28/2019 - A8 - ECB VIOLATION SERVED,"INSTALLED PROHIBITED SIGN STATES THAT LOITERING, LITTERING, FOOD, DRINK PROHIBITED IN VIOLATION OF NYC ZONING RESOLUTION SECTION ZR 37-752.",2019-06-28,A8,ECB VIOLATION SERVED,2019
1511134,Overview for Complaint #:1511134 = RESOLVED,407 PARK AVENUE SOUTH,1018204,OLD GLORY REAL ESTATE CORP,06/27/2019 - A8 - ECB VIOLATION SERVED,WATER FOUNTAIN NOT OPERATIONAL IN PRIVATELY OWNED PUBLIC SPACE VIOLATING THE NYCZONING RESOLUTION.,2019-06-27,A8,ECB VIOLATION SERVED,2019
1511149,Overview for Complaint #:1511149 = RESOLVED,1725 YORK AVENUE,1050634,1725 YORK OWNERS CORP C/O ROSE,06/27/2019 - A8 - ECB VIOLATION SERVED,METAL SPIKES WERE INSTALLED ON PLANTER LEDGES IN VIOLATION OF ZONING RESOLUTION.,2019-06-27,A8,ECB VIOLATION SERVED,2019
1512339,Overview for Complaint #:1512339 = RESOLVED,1755 BROADWAY,1070014,BROADWAY 56TH STREET ASSOCIA,06/27/2019 - A8 - ECB VIOLATION SERVED,"INSTALLED METAL SPIKES ON SEATING SURFACES AT BROADWAY SIDE,  AND ONE TREE      MISSING AT WEST 56 ST. SIDE.",2019-06-27,A8,ECB VIOLATION SERVED,2019
1512288,Overview for Complaint #:1512288 = RESOLVED,300 EAST 34 STREET,1078843,HKAL 34TH STREET LIMITED PARTN,06/27/2019 - A8 - ECB VIOLATION SERVED,CREATED OBSTRUCTION IN THE PLAZA BY PLACING BUILDING MATERIAL.,2019-06-27,A8,ECB VIOLATION SERVED,2019
1513903,Overview for Complaint #:1513903 = RESOLVED,115 EAST 34 STREET,1018517,X X,06/24/2019 - A8 - ECB VIOLATION SERVED,POPS INSPECTION PERFORMED. MISIING SIGNAGE/ENTRY PLAQUE,2019-06-24,A8,ECB VIOLATION SERVED,2019
1513911,Overview for Complaint #:1513911 = RESOLVED,1 STATE STREET,1000018,X X,06/24/2019 - A8 - ECB VIOLATION SERVED,"POPS INSPECTION PERFORMED. PLANTERS INSTALLED IN POPS WITHOU                    T DCP APPROVAL, OBSTRUCTS CIRCULATION",2019-06-24,A8,ECB VIOLATION SERVED,2019
1511150,Overview for Complaint #:1511150 = RESOLVED,145 WEST 67 STREET,1028849,"AMSTERCO 67, LLC",06/18/2019 - A8 - ECB VIOLATION SERVED,PRIVATELY OWNED PUBLIC PLAZA DOES NOT CONFORM TO NYC ZONING RESOLUTION. MISSING AMENITIES/PLAQUE,2019-06-18,A8,ECB VIOLATION SERVED,2019
1512301,Overview for Complaint #:1512301 = RESOLVED,375 HUDSON STREET,1010379,NEW REMAINDERMAN 375 HUDSON LL,06/18/2019 - A8 - ECB VIOLATION SERVED,POPS INSPECTION PERFORMED WITH TABLES AND CHAIRS IN PLAZA. NO APPROVED CHANGES,2019-06-18,A8,ECB VIOLATION SERVED,2019
1511181,Overview for Complaint #:1511181 = RESOLVED,400 EAST 71 STREET,1045808,TRANSWORLD EQUITIES,06/18/2019 - A8 - ECB VIOLATION SERVED,PRIVATELY OWNED PUBLIC SPACE DOES NOT CONFORM TO NYC ZONING RESOLUTION. CHANGES MADE/PLANTERS WITHOUT DCP APPROVAL,2019-06-18,A8,ECB VIOLATION SERVED,2019
1511136,Overview for Complaint #:1511136 = RESOLVED,351 EAST 84 STREET,1049968,ADAMS TOWER LIMITEDPARTNERSHIP,06/18/2019 - A8 - ECB VIOLATION SERVED,PRIVATELY OWNED PUBLIC PLAZA DOES NOT CONFORM TO NYC ZONING RESOLUTION. OPEN AIRCAF  NOT DCP APPROVED.,2019-06-18,A8,ECB VIOLATION SERVED,2019
1512252,Overview for Complaint #:1512252 = RESOLVED,115 EAST 87 STREET,1048043,NAME NOT ON FILE,06/17/2019 - A8 - ECB VIOLATION SERVED,PRIVATELY OWNED PUBLIC SPACE DOES NOT CONFORM TO ZONING RESOLUTION DOCUMENTS,2019-06-17,A8,ECB VIOLATION SERVED,2019
1512319,Overview for Complaint #:1512319 = RESOLVED,780 3 AVENUE,1036228,T-C 780 THIRD AVENUE OWNER LLC,06/17/2019 - A8 - ECB VIOLATION SERVED,"PRIVATELY OWNED PUBLIC SPACE DOES NOR CONFORM TO ZONING RESOLUTION DOCUMENTS. MISSING AMENITIES, CAF  LICENSE EXPIRED.",2019-06-17,A8,ECB VIOLATION SERVED,2019
1512304,Overview for Complaint #:1512304 = RESOLVED,400 EAST 54 STREET,1076281,NAME NOT ON FILE,06/17/2019 - A8 - ECB VIOLATION SERVED,POPS DESIGN CHANGES W/O D C P APPROVAL AND METAL SPIKES INSTALLED ON PLANTERS   LEDGES.,2019-06-17,A8,ECB VIOLATION SERVED,2019
1512305,Overview for Complaint #:1512305 = RESOLVED,425 EAST 58 STREET,1040637,SOVEREIGN APARTMENTS INC,06/17/2019 - A8 - ECB VIOLATION SERVED,POPS INSPECTION PERFORMED. POPS CLOSED OFF FROM PUBLIC.,2019-06-17,A8,ECB VIOLATION SERVED,2019
1511172,Overview for Complaint #:1511172 = RESOLVED,360 EAST 57 STREET,1087734,NAME NOT ON FILE,06/17/2019 - A8 - ECB VIOLATION SERVED,"POPS INSPECTION PERFORMED. PLAZA CLOSED TO PUBLIC, WITH PRIVATE PROPERTY SIGN OBSERVED. THERE ARE NO ACTIVE PERMITS FOR WORK. NO CONSTRUCTION IN PROGRESS.",2019-06-17,A8,ECB VIOLATION SERVED,2019
1512250,Overview for Complaint #:1512250 = RESOLVED,111 WALL STREET,1000868,"230 CENTRAL CO., LLC",06/14/2019 - A8 - ECB VIOLATION SERVED,"POPS INSPECTION PERFORMED. VIOLATION FOR CHANGES NOT APPROVED BY DCP, AND NOT   SHOWN ON DOB DRAWING..",2019-06-14,A8,ECB VIOLATION SERVED,2019
1511170,Overview for Complaint #:1511170 = RESOLVED,200 EAST 62 STREET,1043780,NAME NOT ON FILE,06/14/2019 - A8 - ECB VIOLATION SERVED,"POPS INSPECTION PERFORMED. OPEN AIR CAF  ARRANGED IN PLAZA, NO DCP APPROVAL.",2019-06-14,A8,ECB VIOLATION SERVED,2019
1511137,Overview for Complaint #:1511137 = RESOLVED,240 EAST 38 STREET,1020338,NAME NOT ON FILE,06/14/2019 - A8 - ECB VIOLATION SERVED,POPS INSPECTION PERFORMED. UNAUTHORIZED DESIGN CHANGES TO EXISTING POPS W/O CITY PLANNING COMMISSION APPROVAL W/ MISSING AMENITIES AT NORTH AND SOUTH PLAZA.,2019-06-14,A8,ECB VIOLATION SERVED,2019
1512316,Overview for Complaint #:1512316 = RESOLVED,77 WATER STREET,1000863,WATER STREET FEE LLC,06/14/2019 - A8 - ECB VIOLATION SERVED,"POPS INSPECTION PERFORMED. ARCADE POOLS FILLED WITH STONE. PLAZA WITH MOVABLE 8 TABLES AND 38 CHAIRS, NO APPROVAL FOR CHANGES",2019-06-14,A8,ECB VIOLATION SERVED,2019
1511156,Overview for Complaint #:1511156 = RESOLVED,201 EAST 42 STREET,1037549,DOLP 675 PROPERTIES II,06/11/2019 - A8 - ECB VIOLATION SERVED,"POPS INSPECTION PERFORMED. DESIGN CHANGES W/O DCP APPROVAL W/MISSING AMENITIES, LITTER RECEPTACLE.",2019-06-11,A8,ECB VIOLATION SERVED,2019
1511152,Overview for Complaint #:1511152 = RESOLVED,140 EAST 45 STREET,1036176,NRCF 2GC LLC,06/11/2019 - A8 - ECB VIOLATION SERVED,"POPS INSPECTION PERFORMED. CHANGES MADE TO PLAZA AT 45TH STREET, WITH MULTIPLE CHAIRS AND TABLES SET UP IN FRONT OF STORES,  W/O DCP APPROVAL.",2019-06-11,A8,ECB VIOLATION SERVED,2019
1511140,Overview for Complaint #:1511140 = RESOLVED,345 EAST 93 STREET,1050288,MILLROCK OWNERS CORP,06/10/2019 - A8 - ECB VIOLATION SERVED,PRIVATELY OWNED PUBLIC SPACE NOT ZONING COMPLIANT. REQUIRED AMENITIES NO PRESENTTIME OF INSPECTION,2019-06-10,A8,ECB VIOLATION SERVED,2019
1511131,Overview for Complaint #:1511131 = RESOLVED,235 EAST 95 STREET,1083228,MF ASSOCIATES OF NEW YORK LLC,06/10/2019 - A8 - ECB VIOLATION SERVED,PRIVATELY OWNED PUBLIC PLAZA NON COMPLIANT WITH ZONING RESOLUTION REQUIRED AMENITIES NOT PRESENT AT TIME OF INSPECTION,2019-06-10,A8,ECB VIOLATION SERVED,2019
1511141,Overview for Complaint #:1511141 = RESOLVED,301 EAST 94 STREET,1050324,THE MARMARA INC,06/10/2019 - A8 - ECB VIOLATION SERVED,PRIVATELY OWNED PUBLIC SPACE NON COMPLIANT WITH ZONING RESOLUTIONS. REQUIRED    AMENITIES MISSING,2019-06-10,A8,ECB VIOLATION SERVED,2019
1512268,Overview for Complaint #:1512268 = RESOLVED,201 WEST 70 STREET,1030373,SHERMAN SQ REALTY CORP,06/10/2019 - A8 - ECB VIOLATION SERVED,POPS INSPECTION PERFORMED. OBSERVED SPIKES INSTALLED ON PLANTER LEDGES AT 71ST  STREET SIDE.,2019-06-10,A8,ECB VIOLATION SERVED,2019
1511187,Overview for Complaint #:1511187 = RESOLVED,178 EAST 80 STREET,1047479,178 EAST 80TH STREET OWNERS IN,06/07/2019 - A8 - ECB VIOLATION SERVED,"POPS INSPECTION PERFORMED.  RETAINING WALL W/CRACKS, MISSING, BROKEN, LOOSE BRICKS AND HOLES W/ EXPOSED ELECTRICAL WIRES. ALSO PLAZA IS BEING PARTIALLY  PRIVATIZED WITH BOXES AND BIKES, BY BUSINESS BICYCLES NYC (BNYC).",2019-06-07,A8,ECB VIOLATION SERVED,2019
1511133,Overview for Complaint #:1511133 = RESOLVED,303 EAST 83 STREET,1049916,TISHMAN SPEYER ARCHSTONE-SMITH,06/07/2019 - A8 - ECB VIOLATION SERVED,"POPS INSPECTION PERFORMED. OBSERVED PLANTER WALLS WITH CRACKS, MISSING MORTAR AND BRICKS AT VARIOUS LOCATIONS AND AIR VENT  INSTALLED IN THE POPS PLANTER AREA.",2019-06-07,A8,ECB VIOLATION SERVED,2019
1511180,Overview for Complaint #:1511180 = RESOLVED,400 EAST 70 STREET,1045589,KINGSLEY CONDO,06/06/2019 - A8 - ECB VIOLATION SERVED,POPS INSPECTION PERFORMED. VIOLATION OF ZONING RESOLUTION REQUIRED AMENITIES ARENON COMPLIANT,2019-06-06,A8,ECB VIOLATION SERVED,2019
1511145,Overview for Complaint #:1511145 = RESOLVED,401 EAST 80 STREET,1050360,"RESNICK GRACIE MEWS, LLC",06/06/2019 - A8 - ECB VIOLATION SERVED,"POPS INSPECTION PERFORMED. VIOLATION ISSUED FOR UNAPPROVED CHANGES. MISSING     AMENITIES, UNAPPROVED OPEN AIR CAFE.",2019-06-06,A8,ECB VIOLATION SERVED,2019
1511139,Overview for Complaint #:1511139 = RESOLVED,330 EAST 39 STREET,1021923,330 EAST 39TH STREET LLC,06/03/2019 - A8 - ECB VIOLATION SERVED,"PRIVATELY PUBLIC OWNED PUBLIC SPACE UNDER CONSTRUCTION OPEN TO THE PUBLIC WITH BUILDING MATERIAL SCATTERED ALL AROUND, OBSTRUCTING PUBLIC CIRCULATION.",2019-06-03,A8,ECB VIOLATION SERVED,2019
1511154,Overview for Complaint #:1511154 = RESOLVED,245 EAST 40 STREET,1037175,ASN MURRAY HILL LLC,06/03/2019 - A8 - ECB VIOLATION SERVED,"PRIVATELY OWNED PUBLIC SPACE, MAINTENANCE REQUIRED, GARBAGE PILED UP, EXCESS    WATER, CRACK IN BRICK RETAIN WALL.",2019-06-03,A8,ECB VIOLATION SERVED,2019
1511168,Overview for Complaint #:1511168 = RESOLVED,160 EAST 65 STREET,1042369,PHOENIX OWNERS CORP,06/03/2019 - A8 - ECB VIOLATION SERVED,VIOLATION OF CONDITION ON AS OF RIGHT PLAZA. NO DCP APPROVAL FOR PLAZA          MODIFACTIONS,2019-06-03,A8,ECB VIOLATION SERVED,2019
1511179,Overview for Complaint #:1511179 = RESOLVED,401 EAST 60 STREET,1045271,BRIDGE TOWER PLACE CONDOMINIUM,06/03/2019 - A8 - ECB VIOLATION SERVED,POPS INSPECTION PERFORMED. VIOLATION ISSUED FOR MISSING REQUIRED AMENITIES.,2019-06-03,A8,ECB VIOLATION SERVED,2019
1506922,Overview for Complaint #:1506922 = RESOLVED,418 EAST 59 STREET,1072003,418 EAST 59TH ST OWNERS CORP,05/29/2019 - A8 - ECB VIOLATION SERVED,"POP NON COMPLIANT, MISSING SIGNAGE, AND MAINTENANCE ISSUES.",2019-05-29,A8,ECB VIOLATION SERVED,2019
1511166,Overview for Complaint #:1511166 = RESOLVED,188 EAST 64 STREET,1042137,THE ROYALE CONDOMINIUM,05/29/2019 - A8 - ECB VIOLATION SERVED,PRIVATELY OWNED PUBLIC SPACE NON COMPLIANT. POPS BEING USED AS STORAGE AND STAGING AREA FOR COMMERCIAL BUSINESS CREATING PARTIALLY OBSTRUCTED PEDESTRIAN CIRCULATION AT PLAZA,2019-05-29,A8,ECB VIOLATION SERVED,2019
1507246,Overview for Complaint #:1507246 = RESOLVED,108 FIFTH AVENUE,1015318,108 5TH AVE CONDOMINIUM,05/29/2019 - A8 - ECB VIOLATION SERVED,"PLAZA NON COMPLIANT, MISSING AMENITIES/ARTWORK, SPIKES ON SEATING               SURFACES/PLANTERS.",2019-05-29,A8,ECB VIOLATION SERVED,2019
1510446,Overview for Complaint #:1510446 = RESOLVED,50 EAST 89 STREET,1046957,PARK REGIS APT CORP,05/24/2019 - A8 - ECB VIOLATION SERVED,GATE TO PLAZA (PRIVATELY OWNED PUBLIC SPACE-POPS) CHAINED AND LOCKED. NO ACTIVE OR ONGOING WORK OBSERVED CONSTITUTING CLOSURE. DESIGN CHANGES WITHOUT CPC APPROVAL WITH APPROX. 60% OF LANDSCAPING REMOVED AND NO CHILDREN S PLAY EQUIPMENT WITHIN PLAZA.,2019-05-24,A8,ECB VIOLATION SERVED,2019
1500511,Overview for Complaint #:1500511 = RESOLVED,575 5 AVENUE,1035407,NOT ON FILE,03/14/2019 - A8 - ECB VIOLATION SERVED,"DID NOT OBSERVE SECURITY ASKING ANYONE TO LEAVE HOWEVER, OBSERVED ILLEGAL SIGNAGE WITH PROHIBITVE RULES CONTRARY TO ZONING AT POPS",2019-03-14,A8,ECB VIOLATION SERVED,2019
1495115,Overview for Complaint #:1495115 = RESOLVED,172 MADISON AVENUE,1089701,NOT ON FILE,12/27/2018 - A8 - ECB VIOLATION SERVED,PER DRAWING # ZL-101A REQUIRED AMENITIES ARE MISSING AT POPS PLAZA: BIKE RACK & TRASH RECEPTACLE.,2018-12-27,A8,ECB VIOLATION SERVED,2018
1495448,Overview for Complaint #:1495448 = RESOLVED,151 WEST 54 STREET,1069590,BLACK PUMICE D 2015 LLC,12/04/2018 - A8 - ECB VIOLATION SERVED,PUBLIC PLAZA PADLOCKED SHUT AND BEING USED AS CONSTRUCTION STAGING AREA,2018-12-04,A8,ECB VIOLATION SERVED,2018
1492841,Overview for Complaint #:1492841 = RESOLVED,200 EAST 33 STREET,1020078,"PLAZA REALTY INVESTORS, DE 1,",11/08/2018 - A8 - ECB VIOLATION SERVED,CONSTRUCTION MATERIAL (3/4' PLYWOOD) BEING STORED IN PUBLIC PLAZA,2018-11-08,A8,ECB VIOLATION SERVED,2018
1491752,Overview for Complaint #:1491752 = RESOLVED,105 DUANE STREET,1001650,TRIBECA EQUITY PARTNERS L P,10/05/2018 - A8 - ECB VIOLATION SERVED,INSTALLED MECH VENTILATION WITHIN PLANTER LOCARED IN POPS PL                    AZA,2018-10-05,A8,ECB VIOLATION SERVED,2018
1490324,Overview for Complaint #:1490324 = RESOLVED,555 WEST 57 STREET,1027072,GREEN W. 57TH ST. LLC,10/05/2018 - A8 - ECB VIOLATION SERVED,AOR PLAZA DESIGN CHANGE W/9 METAL POSTS & CHAIRS INSTALLED *                    & ARCADE BEING USED FOR BMW DEALER PARKING LOT W/O DCP APP,2018-10-05,A8,ECB VIOLATION SERVED,2018
1490105,Overview for Complaint #:1490105 = RESOLVED,141 EAST 48 STREET,1036233,THE COSMO CONDO,09/19/2018 - A8 - ECB VIOLATION SERVED,"PLAZA HAS DEAD/MISSING TREES & OR PLANTINGS,MASONARY                            MAINTENANCE ISSUES & ILLGEAL SIGNAGE",2018-09-19,A8,ECB VIOLATION SERVED,2018
1485772,Overview for Complaint #:1485772 = RESOLVED,437 MADISON AVENUE,1035455,MADISON AVENUE FEE,09/19/2018 - A8 - ECB VIOLATION SERVED,PLAZA MISSING VARIOUS REQUIRED AMENTIES PER APPROVED MODIFIC                    ATION,2018-09-19,A8,ECB VIOLATION SERVED,2018
1488863,Overview for Complaint #:1488863 = RESOLVED,415 EAST 54 STREET,1040356,KARISIK CHARLES,09/19/2018 - A8 - ECB VIOLATION SERVED,"FENCE AT FRONT , DEBRIS & SHED AT REAR PLAZA OBSTRUCTS                          CIRCULATION--NO PERMIT FOR SHED",2018-09-19,A8,ECB VIOLATION SERVED,2018
1486615,Overview for Complaint #:1486615 = RESOLVED,90 WASHINGTON STREET,1000793,"EKATZ FAMILY, LLC",09/19/2018 - A8 - ECB VIOLATION SERVED,"OPEN AIR CAFE OCCUPIED W/EXP CERTIFICATE.CARPET ON PLANTER B                    EDS,MISSING PLAZA OPERATION HRS & ILLEGAL SIGNS W/O PERMITS",2018-09-19,A8,ECB VIOLATION SERVED,2018
1486825,Overview for Complaint #:1486825 = RESOLVED,200 EAST 64 STREET,1043866,64TH STREET-THIRD AVENUE ASSOC,08/21/2018 - A8 - ECB VIOLATION SERVED,PLAZA CLOSED FOR CONST SAFETY-NO PRIVATION. NOV ISSUED FOR                      UNAUTH DESIGN CHANGES & MAINTENANCE OF PLAZA,2018-08-21,A8,ECB VIOLATION SERVED,2018
1487615,Overview for Complaint #:1487615 = RESOLVED,622 3 AVENUE,1089024,622 THIRD AVE. CO. LLC,08/21/2018 - A8 - ECB VIOLATION SERVED,"FAILURE TO MAITAIN, MISSING PAINTINGS, BROKEN DEFECTIVE MASO                    NARY PLANTERS",2018-08-21,A8,ECB VIOLATION SERVED,2018
1487618,Overview for Complaint #:1487618 = RESOLVED,111 EAST 85 STREET,1047928,KREISEL CO INC,08/21/2018 - A8 - ECB VIOLATION SERVED,"PLAZA HAS NON CONFORMING SIGNAGE, DEAD PLANTINGS & SPIKES                       ON MASONARY PLANTERS",2018-08-21,A8,ECB VIOLATION SERVED,2018
1487555,Overview for Complaint #:1487555 = RESOLVED,401 EAST 84 STREET,1073786,NAME NOT ON FILE,08/21/2018 - A8 - ECB VIOLATION SERVED,MISSING ALL REQUIRED LAMP POSTS AND 2 TREES IN PLAZA PER APP                    ROVED MODIFIED PLAZA DRAWINGS,2018-08-21,A8,ECB VIOLATION SERVED,2018
1486777,Overview for Complaint #:1486777 = RESOLVED,560 3 AVENUE,1019099,MURRAY HILL MEWS OWNERS CORP,08/13/2018 - A8 - ECB VIOLATION SERVED,"PRIVATIZEDPLAZA FOR USE BY ""DUKES & ""CAFE DELECTICA"" W/.OUT                     DCP APPROVAL. FAILED TO MAINTAIN PLAZA",2018-08-13,A8,ECB VIOLATION SERVED,2018
1486283,Overview for Complaint #:1486283 = RESOLVED,200 EAST 61 STREET,1043547,3RD AND 60TH ASOCIATES L.P.,08/07/2018 - A8 - ECB VIOLATION SERVED,PRIATIZED AREA OF PLAZA FOR ZAVO RESTAURANT W/OUT APPROVAL                      NO PERMIT FOR ACCESSORY SIGN & EXPOSED WIRING,2018-08-07,A8,ECB VIOLATION SERVED,2018
1486314,Overview for Complaint #:1486314 = RESOLVED,839 6 AVENUE,1015146,NOT ON FILE,08/07/2018 - A8 - ECB VIOLATION SERVED,"PRIVATIZED AREA OF PLAZA FOR USE BY ""VINE"" RESTAURANT W/OUT                     DCP APPROVAL",2018-08-07,A8,ECB VIOLATION SERVED,2018
1486282,Overview for Complaint #:1486282 = RESOLVED,1991 BROADWAY,1028857,BEL CANTO CONDOMINIUM ASSOC,08/07/2018 - A8 - ECB VIOLATION SERVED,"NO PERMIT FOR ACCESSRY EXT SIGNAGE,LARGER THAN ALLOWED. MISS                    ING PLAQUE, ADVERTISE ARTWORK & FAILED TO FILE C OF C'S",2018-08-07,A8,ECB VIOLATION SERVED,2018
1486229,Overview for Complaint #:1486229 = RESOLVED,51 WEST 52 STREET,1081406,CBS INC,08/07/2018 - A8 - ECB VIOLATION SERVED,"PRIVATIZED AREA OF PLAZA W/TABLES,CHAIRS & PLANTERS FOR ""SAL                    TBEI"" RESTURANT W/OUT DCP APPROVAL",2018-08-07,A8,ECB VIOLATION SERVED,2018
1481182,Overview for Complaint #:1481182 = RESOLVED,1370 SIXTH AVENUE,1034855,"AVENUE OF AMERICAS, LLC",07/31/2018 - A8 - ECB VIOLATION SERVED,MISSING REQUIRED AMENTIES ALONG 6TH AVENUE-NO SEATING OR                        PLANTINGS.6TH AVE SIDE NTO ASSOCIATED W/FOMER CAFE,2018-07-31,A8,ECB VIOLATION SERVED,2018
1481344,Overview for Complaint #:1481344 = RESOLVED,450 PARK AVENUE,1035780,"450 PROPERTY OWNER US, LLC",07/31/2018 - A8 - ECB VIOLATION SERVED,MISSING POOL & PLAQUE ADDRESED UNDER PENDING NOV #50N. VIO I                    SSUED FOR INSTALL OF PLANTERS & BRONZE NON CONFORM SIGN,2018-07-31,A8,ECB VIOLATION SERVED,2018
1481181,Overview for Complaint #:1481181 = RESOLVED,40 WEST 57 STREET,1035057,LEFRAK SBN LIMITED PARTNERSHIP,07/31/2018 - A8 - ECB VIOLATION SERVED,"PRIVATIZED AREA OF PLAZA FOR OUTDOOR CAFE ""BENIHANA"" W/SEATI                    NG,FENCING,SCREENING,SIGNS,AWNINGS,ETC.NO DCP APPROVAL/PERMI",2018-07-31,A8,ECB VIOLATION SERVED,2018
1482205,Overview for Complaint #:1482205 = RESOLVED,245 EAST 54 STREET,1038575,BEVARD OWNERS CORP,07/31/2018 - A8 - ECB VIOLATION SERVED,PLAZA FULLY OPEN TO PUBLIC @ TIME OF INSPECTION. NOV ISSUED                     NOV ISSED FOR FAILING TO MAINTAIN MULTIPLE REQ AMENITIES,2018-07-31,A8,ECB VIOLATION SERVED,2018
1480155,Overview for Complaint #:1480155 = RESOLVED,1325 SIXTH AVENUE,1076175,"1325 AVENUE OF THE AMERICAS,LP",07/23/2018 - A8 - ECB VIOLATION SERVED,"PRIVATAZATON OF PUBLIC PLAZA BY ""REMI"" RESTURANT                                W/OUT DCP APPROVAL/CEERT",2018-07-23,A8,ECB VIOLATION SERVED,2018
1481343,Overview for Complaint #:1481343 = RESOLVED,520 MADISON AVENUE,1035727,"520 MADISON OWNERS, L",07/23/2018 - A8 - ECB VIOLATION SERVED,"PRIVATAZATION OF PUBLIC PLAZA BY (3) SEPARATE OUTDOOR CAFES:                    SAN PIETRO, PAPILLON & VALBELLA W/OUT DCP CERT/APPROVAL",2018-07-23,A8,ECB VIOLATION SERVED,2018
1480158,Overview for Complaint #:1480158 = RESOLVED,1285 SIXTH AVENUE,1023158,C & K 1285 OWNER LLC,07/16/2018 - A8 - ECB VIOLATION SERVED,PLAZA MISSING DRINKING FOUNTAINS AND LITER RECEPTACLES AS RE                    QUIRED.ALSO OPERATING OPEN AIR CAFE(MASTROS)W/O DCP APPROVAL,2018-07-16,A8,ECB VIOLATION SERVED,2018
1480160,Overview for Complaint #:1480160 = RESOLVED,135 WEST 52 STREET,1023160,NOT ON FILE,07/13/2018 - A8 - ECB VIOLATION SERVED,"GALLERIAMOPEN TO PUBLIC.ASILED TO PROVIDE GREENWLL, WATER WA                    LL & PLNTING AS REQUIRED BY CPC APPROVAL",2018-07-13,A8,ECB VIOLATION SERVED,2018
1480157,Overview for Complaint #:1480157 = RESOLVED,118 WEST 57 STREET,1023455,"PMGP ASSOCIATES, L.P.",07/13/2018 - A8 - ECB VIOLATION SERVED,"PUBLIC THROUGH BLOCK ARCADE CONTINUES TO BE OCCUPIED BY                         PRIVATE BAR ""KNAVE"" W/OUT CERTIFICATION",2018-07-13,A8,ECB VIOLATION SERVED,2018
1480154,Overview for Complaint #:1480154 = RESOLVED,810 SEVENTH AVENUE,1024828,SLG 810 SEVENTH LESSEE LLC,07/13/2018 - A8 - ECB VIOLATION SERVED,"PLAZA STRIPPED OF ALL REQUIRED AMENTIES. MISSING PLANTERS,                      PLAQUES,SEATS,TREES & LITTER RECEPTICALES",2018-07-13,A8,ECB VIOLATION SERVED,2018
1484094,Overview for Complaint #:1484094 = RESOLVED,132 EAST 35 STREET,1018519,132 EAST 35TH ST OWNERS INC,07/13/2018 - A8 - ECB VIOLATION SERVED,"INSTALLED SPIKES & FENCING ON PLANTERS TO PREVENT SEATING                       . NO PERIT FOR ""SANTANDER""5S"" WRAP AROUND SIGN",2018-07-13,A8,ECB VIOLATION SERVED,2018
1484095,Overview for Complaint #:1484095 = RESOLVED,201 EAST 87 STREET,1048809,CLARIDGE HOUSE LLC,07/13/2018 - A8 - ECB VIOLATION SERVED,"ILLEGAL ""PRIVATE PROPERTY"" PLAQUE * SPIKES ON PLANTERS AT PL                    AZA",2018-07-13,A8,ECB VIOLATION SERVED,2018
1480159,Overview for Complaint #:1480159 = RESOLVED,151 WEST 54 STREET,1069590,BLACK PUMICE D 2015 LLC,07/13/2018 - A8 - ECB VIOLATION SERVED,VIOLATION ISSUED FOR FAILING TO MAINTAIN PLAZA PER ZR37-77                      BROKEN MASONARY & RUSTED METAL,2018-07-13,A8,ECB VIOLATION SERVED,2018
1484135,Overview for Complaint #:1484135 = RESOLVED,200 EAST 90 STREET,1048876,200 EAST 90TH ST OWNERS,07/13/2018 - A8 - ECB VIOLATION SERVED,PLAZA DESIGN CHANGED W/SQUARE PLANTERSW/SPIKES W/OUT SCP/CPC                    APPROVED OR CERTIFICATION,2018-07-13,A8,ECB VIOLATION SERVED,2018
1480153,Overview for Complaint #:1480153 = RESOLVED,1700 BROADWAY,1024836,1700 BROADWAY OWNER LLC,07/13/2018 - A8 - ECB VIOLATION SERVED,"NO DEAD TREES,BROKEN FURNITURE OR CONSTRUCTION SUPPLIES FOUN                    D. MISSING 51 MOVABLE CHAIRS ALONG 7 AVE",2018-07-13,A8,ECB VIOLATION SERVED,2018
1478589,Overview for Complaint #:1478589 = RESOLVED,400 EAST 84 STREET,1085139,1616 FIRST COMPANY,07/03/2018 - A8 - ECB VIOLATION SERVED,AT PRIVATELY OWNED PUBLIC PLAZA. REQUIRED AMENTIES (DRINKING                     FOUNTAIN) NOT OPERATIONAL WHEN TESTED,2018-07-03,A8,ECB VIOLATION SERVED,2018
1482114,Overview for Complaint #:1482114 = RESOLVED,1365 YORK AVENUE,1045849,EAST 72ND REALTY LLC,06/19/2018 - A8 - ECB VIOLATION SERVED,OPEN AIR PLAZA WITH NO LEGALLY REQUIRED AMENTIES. TWO                           ILLUMINATED PARKING SIGN IN PLAZA WITHOUT PERMITS,2018-06-19,A8,ECB VIOLATION SERVED,2018
